gene,hr,p,fdr
MFAP2,1.1169339837925334,0.28680469699679717,0.666987667434412
SCGB1A1,0.8605776551418078,0.2946287507117485,0.6773074729005713
HOXA-AS2,1.1286969319168656,0.3090034640269938,0.7022806000613495
OBP2A,0.8982310400006329,0.31642100720483823,0.7110584431569399
DAPL1,0.8866358030095651,0.3169065055702848,0.7042366790450774
HOXD1,0.9049388854062431,0.3249368429256161,0.7141469075288266
HSPA1A,0.9171272470950171,0.3258544909706308,0.7083793281970234
PAEP,0.9010468264482687,0.3283426151859715,0.7061131509375732
DNAJC15,1.135656816350063,0.33051063265946945,0.7032141120414244
MT1G,0.9258515714814698,0.34063460322861555,0.7171254804812959
LRRTM1,1.1291444406192528,0.3504936261712528,0.7301950545234434
SELENOM,1.119089181349713,0.3529020899141374,0.7276331750806957
KLK5,0.9085537197840474,0.3554404380032058,0.7253886489861343
LTB,1.119468282067026,0.37484417775181633,0.7572609651551845
HLA-DRB5,0.9323859760216378,0.37991267014172536,0.7598253402834507
LAMA3,1.1143154221551508,0.3879197721133596,0.7681579645809101
BCAT1,0.9096177123582733,0.39093986843132855,0.7665487616300559
RNASE1,0.9217819886192786,0.3962983612043368,0.7695113809792947
XIST,0.9447768404476123,0.4026651335796273,0.7743560261146679
EMX2OS,1.1221857597899703,0.4050811405355381,0.7715831248295965
RSPO3,0.9024700867968164,0.406776770356684,0.7675033402956303
IL32,1.108341264907681,0.4159525687369058,0.7774814368914127
TMEM190,1.0910978299014877,0.4160578588480681,0.7704775163853114
PCK1,0.9087416815778665,0.42268723795806895,0.7755729136845301
NNMT,0.9249920147443259,0.4356144819510168,0.7920263308200306
UCHL1,0.912587677123252,0.4378689142632941,0.788952998672602
HLA-DQA1,0.925775111803537,0.4423500862621351,0.7899108683252413
RAMP1,1.097385330359788,0.45172427357178613,0.7995119886226303
KRT14,0.9209711314240899,0.4558815681655284,0.7997922248518042
RNF212,0.9268832375918864,0.4597601340896491,0.7995828418950419
HP,0.9321227928846921,0.4602496407110145,0.7935338632948526
MGP,0.9162207283754792,0.469014304280885,0.8017338534715982
SERPINA5,1.0706556226616601,0.4730822869942063,0.8018343847359429
SCGB3A1,0.9141454807665095,0.4751293601143337,0.7985367396879558
C20orf204,0.9219505877195024,0.48997297082296587,0.8166216180382764
DPEP3,0.9289239622751466,0.49958292815768124,0.8257569060457541
CDH2,0.925930831178187,0.5089984079801811,0.8344236196396412
NTS,0.9451573876682365,0.5196611524547263,0.8449774836662217
BIRC3,1.0790946280803688,0.5276095455573493,0.8509831379957247
CLU,1.0664683662481904,0.5281428256960647,0.8450285211137036
PNOC,0.9324046588995326,0.5336546852126639,0.8470709289089904
CDKN2A,0.9481827285912634,0.5426736465494411,0.8546041677943953
PGR,0.92587661503719,0.5467587274115695,0.8543105115805774
PEG10,0.9290314685240989,0.5501037891850498,0.852874091759767
FN1,1.0786847842021015,0.5531500048400476,0.8510000074462272
ZNF208,0.9366072677509616,0.5735043860374193,0.8755792153243043
TFPI2,1.0736013623112202,0.5751010213031316,0.8713651837926236
IGFBP2,1.0662164203429279,0.5759955766810553,0.8661587619263988
CLDN16,0.9483375833952363,0.5788424487414138,0.8639439533453938
FLG,1.0670812971114452,0.5817123449425495,0.8617960665815548
KRT6A,1.066410026560823,0.5857022858768316,0.8613268909953407
SERPINE2,0.9387895889204964,0.5860835846837215,0.8555964739908343
KRT81,1.060032650304861,0.5922558905676953,0.8583418703879643
CYYR1,1.0579830529570053,0.6055594502355741,0.8713085614900348
CD74,0.9415724183707802,0.610206075619294,0.8717229651704199
HLA-DPA1,0.9609202361428362,0.6168666297926757,0.8749881273654974
IRX3,0.9517276672147434,0.6293526257969349,0.8864121490097674
PTGDS,1.0445464908718578,0.6402773916357044,0.8954928554345517
FST,0.945964494562676,0.6467533069300446,0.8982684818472843
C2orf40,1.0499084608104978,0.6512422634811206,0.8982651910084423
LYPLAL1,0.9558216001141802,0.666183273929609,0.9125798273008342
TSPAN7,0.9520564749505305,0.6699366320650788,0.9114784109728963
CRTAC1,0.9499996904796887,0.6879605857825271,0.9296764672736852
CRNDE,0.9527873458800357,0.689243696887691,0.9251593246814644
BEX1,1.0434497674022631,0.6901958818816768,0.9202611758422357
KIF1A,1.0491149181107318,0.6932729832329612,0.9182423618979618
BASP1,1.0410197922207407,0.6959620046913023,0.9157394798569768
DEFB1,0.9677958748255255,0.7024701530597062,0.918261637986544
SPP1,0.9554545128832367,0.717185367225557,0.9314095678253986
HLA-DRB1,0.9708180511783655,0.7212965588159955,0.9307052371819297
HLA-DRA,0.971232203908283,0.7349108903026125,0.9421934491059135
EMX2,1.039548315285846,0.7384254685231157,0.9406693866536506
PAGE2B,0.9588757708151536,0.7402068362681888,0.9369706788204921
HLA-DPB1,0.9713378242986124,0.7470062488603169,0.9396305017110904
PAX2,1.0302627163888807,0.7542992292213613,0.9428740365267017
HLA-DQB1,0.9704373818104578,0.7557731772260514,0.9388486673615546
CLDN10,0.9714637304223182,0.7602653348787782,0.9385991788626892
PART1,0.963828895028144,0.7781703078982504,0.9548101937401845
C1orf194,0.9650626616682236,0.7793304611963762,0.9504030014589954
SOX11,1.027640333994776,0.7795327352797162,0.9448881639754135
NLRP2,0.9714954780211253,0.79228944267167,0.9545655935803252
SLC7A2,0.9686633313981207,0.7931598468214578,0.9498920321215064
SNRPN,1.030057325062858,0.7938091062922753,0.9450108408241372
SFRP1,1.0249383395645102,0.7959620576347006,0.9419669321120718
IGFBP5,1.028821792419748,0.7993371295838736,0.9403966230398513
TMEM100,0.971383535339578,0.7998435315568295,0.9354895105927831
NPY,0.9736229218742106,0.811869667631562,0.9440344972460022
TTYH1,0.9728684156148817,0.818214833578821,0.9459131024032613
IFITM1,0.9732126733063349,0.829756005964042,0.9537425355908528
SAMD11,1.0260077948683783,0.8299897064101447,0.9485596644687367
FOLR3,0.9762689022675236,0.8319476199422127,0.9453950226616054
SERPINA1,1.0259867961735276,0.8330062578885973,0.9412500089136693
LGR5,0.980849778730399,0.8368382103249743,0.940267652050533
ADIRF,1.02294241087747,0.843235652956599,0.9421627407336303
CFH,1.023093407787852,0.8512656574909141,0.9458507305454601
FABP6,0.9763829492225279,0.8518135113502064,0.9412303992819961
CXCL17,0.9841228061322291,0.8784770507698941,0.9653593964504331
MAGEA4,1.0146707813932845,0.8919324190660949,0.9747895290339834
LINC01133,0.9856182309849985,0.8969245962740029,0.974918039428264
WDR72,1.0145377338588044,0.8998974696315705,0.9728621293314276
